Generation,GibberishLevel
1,2.072479976
1,1.792277938
1,2.437668525
1,2.409508189
1,2.442048595
1,2.215596176
1,2.376510595
1,2.620538482
1,2.475761647
1,2.212063386
1,2.598776084
1,2.550830454
1,2.348719012
1,2.339942536
1,2.49988803
1,2.255403222
1,2.242620105
1,2.625625709
1,2.231619349
1,2.764599759
1,2.487210271
1,2.168589019
1,2.477392572
1,2.258670668
1,2.509452195
1,2.695763253
1,2.556461852
1,2.624193906
1,2.150537401
1,2.399212293
1,2.4745122
1,2.498051912
1,2.717270195
1,2.387187222
1,2.216315437
1,2.238523261
1,2.377209072
1,2.644662449
1,2.342072589
1,2.624200407
1,2.744670904
1,2.194046717
1,2.456547605
1,2.360915559
1,2.293235516
1,2.424576377
1,2.473418378
1,2.382003928
1,2.403676171
1,2.39597604
1,2.523800392
1,2.345133396
1,2.641006363
1,2.690960322
1,2.38075597
1,2.302335616
1,2.658806503
1,2.120988257
1,2.488649987
1,2.417120319
1,2.325232267
1,2.777567727
1,2.396246926
1,2.472116438
1,2.606853709
1,2.578351086
1,2.28408303
1,2.489862371
1,2.223329083
1,2.241872296
1,2.389299237
1,2.483742411
1,2.359008032
1,2.644762957
1,2.084852952
1,2.529960621
1,2.699931281
1,2.625058162
1,2.479702662
1,2.455254923
1,2.590610329
1,2.418883522
1,2.19044652
1,2.495076598
1,2.304108923
1,2.407423696
1,2.243446005
1,2.300684573
1,2.373195531
1,2.749405984
1,2.438803084
1,2.720530862
1,2.544389654
1,2.438549124
1,2.506194289
1,2.581849466
1,2.49417283
1,2.698925294
1,2.434840726
1,2.375168306
1,2.303974324
1,2.462703531
1,2.502006976
1,2.207204914
1,2.410194433
1,2.664306044
1,2.546763298
1,2.735142315
1,1.96052387
1,2.560657414
1,2.31792226
1,2.319179949
1,2.514356637
1,2.215177612
1,2.505170466
1,2.279846444
1,2.210105811
1,2.373950329
1,2.445899701
1,2.08384227
1,2.609750375
1,2.587397686
1,2.399768121
1,2.393980311
1,2.607343405
1,2.529736894
1,2.346468323
1,2.600558894
1,2.504533947
1,2.451773127
1,2.388409982
1,2.451773127
1,2.537328896
1,2.449035416
1,2.579025911
1,1.87061738
1,2.480959723
1,2.1673358
1,2.229620163
1,2.294357238
1,2.479677885
1,1.92969171
1,2.639085597
1,2.355176622
1,2.363103553
1,2.102925918
1,2.680505913
1,1.940099129
1,2.31660489
1,2.5559556
1,2.068581454
1,2.411981796
1,2.663872822
1,2.541623427
1,2.737306686
1,2.355232057
1,2.158436141
1,2.370294106
1,1.94683776
1,2.700825095
1,2.448303628
1,2.547809726
1,2.583609069
1,2.489317524
1,2.222642429
1,2.313449712
1,2.77758608
1,2.454838806
1,2.594114001
1,2.694047621
1,2.206201465
1,2.401999727
1,2.474463118
1,2.667895869
1,2.46414714
1,2.312865853
1,1.804167348
1,2.518095271
1,2.450477438
1,2.297162805
1,2.600611992
1,2.610919861
1,2.128867513
1,2.587465083
1,2.519288318
1,1.919416177
1,1.659982811
1,2.290177239
1,2.475850666
1,2.706764977
1,2.360296015
1,2.274841423
1,2.380929906
1,2.25758454
1,2.54020865
1,2.561453354
1,2.2682349
1,2.49970752
1,2.449689761
1,2.682718841
1,2.406903162
1,1.717804216
1,2.071171482
1,2.702594399
1,2.788396944
1,2.590636486
1,2.633285707
1,2.377975917
1,2.595420927
1,2.285288696
1,2.271801503
1,2.23174591
1,2.597126237
1,2.481119084
1,2.509749026
1,2.247513511
1,2.4512716
1,2.482382243
1,2.668096242
1,2.545851676
1,2.334040612
1,2.310982398
1,2.595154899
1,2.452193156
1,2.655244198
1,2.559363096
1,2.627912989
1,2.428563019
1,2.443254447
1,2.110917073
1,2.418970302
1,2.521712201
1,2.210437377
1,2.682043464
1,2.338501522
1,2.535699242
1,2.544769059
1,2.487149535
1,2.302541644
1,2.228163883
1,2.507030888
1,2.345720558
1,2.600038624
1,2.290638444
1,2.089232605
1,2.45321352
1,2.56097832
1,2.638888662
1,2.506607012
1,2.388018107
1,2.354341428
1,2.562459435
1,2.648424439
1,2.560308609
1,2.326805257
1,2.596421487
1,2.703161456
1,2.513090349
1,2.189036367
1,2.518712213
1,2.461694612
1,2.324482646
1,2.416720181
1,2.248324212
1,2.426909662
1,2.676739346
1,2.660495842
1,2.04835733
1,2.448342322
1,2.448462156
1,2.635407679
1,2.472938623
1,2.641809391
1,2.482008831
1,2.381379333
1,2.667157104
1,2.466842313
1,2.539318133
1,2.348053712
1,2.465326993
1,2.686809166
1,2.643528946
1,2.149078441
1,2.024296269
1,2.458905664
1,2.608573127
1,2.696590179
1,2.556260147
1,2.612110243
1,2.523288436
1,2.522249253
1,2.428165548
1,2.622563625
1,2.305592356
1,2.19630911
1,2.54392194
1,2.634345292
1,2.468019089
1,2.343294191
1,2.616137675
1,2.381184913
1,2.414013817
1,2.654186878
1,2.314621659
1,2.461890441
1,2.422292786
1,2.364607607
1,2.165465825
1,2.237801063
1,2.000062066
1,2.462166398
1,2.461687181
1,2.650047497
1,2.745315178
1,2.265127458
1,2.594048023
1,2.891785696
1,2.032762008
1,2.605398959
