Model,Article_ID,Left_Score,Center_Score,Right_Score
GPT-2,123,0.003745402,0.181391135,0.814863503
GPT-2,124,0.002741674,0.130026355,0.867231965
GPT-2,125,0.000688458,0.01712539,0.982186139
GPT-2,126,0.000835786,0.982812583,0.016351655
GPT-2,127,0.997536302,0.002013214,0.000450406
GPT-2,128,0.001599132,0.998147607,0.00025333
GPT-2,129,0.000700847,0.001317188,0.997981906
GPT-2,130,0.002532257,0.993519843,0.00394791
GPT-2,131,0.000917789,0.982295036,0.016787235
GPT-2,132,0.000678034,0.003565019,0.995756924
GPT-2,133,0.000421879,0.001982241,0.997595847
GPT-2,134,0.000714582,0.999156594,0.000128819
GPT-2,135,0.000360173,0.997561216,0.002078615
GPT-2,136,0.337321192,0.02882963,0.633849204
GPT-2,137,0.002450258,0.893987954,0.103561848
GPT-2,138,0.000737599,0.004428755,0.994833589
GPT-2,139,0.000798751,0.0465778,0.952623367
GPT-2,140,0.000681588,0.998951554,0.000366809
GPT-2,141,0.000283928,0.999196827,0.000519209
GPT-2,142,0.001946826,0.128378451,0.869674742
GPT-2,143,0.001335221,0.004240917,0.994423926
GPT-2,144,0.000403007,0.999453604,0.000143329
GPT-2,145,0.000607355,0.002387201,0.997005522
GPT-2,146,0.004647723,0.014044636,0.981307626
GPT-2,147,0.00128389,0.950685263,0.048030917
GPT-2,148,0.000744634,0.003237117,0.99601835
GPT-2,149,0.000348239,0.999487162,0.000164569
GPT-2,150,0.999224424,0.000202413,0.000573139
GPT-2,151,0.000438987,0.000704457,0.998856544
GPT-2,152,0.000490696,0.001231511,0.998277903
GPT-2,153,0.000339344,0.999392867,0.000267811
GPT-2,154,0.000906749,0.00144901,0.997644246
GPT-2,155,0.000481982,0.99940598,0.000112042
GPT-2,156,0.013834761,0.985937893,0.000227373
GPT-2,157,0.000355267,0.999217272,0.000427459
GPT-2,158,0.001471387,0.847804904,0.150723726
GPT-2,159,0.000740544,0.973918796,0.025340635
GPT-2,160,0.000626917,0.990742028,0.008631077
GPT-2,161,0.000446872,0.001564154,0.997988939
GPT-2,162,0.011232323,0.988149524,0.000618177
GPT-2,163,0.000697134,0.002764189,0.996538758
GPT-2,164,0.011922702,0.963936925,0.024140373
GPT-2,165,0.000640054,0.004390338,0.994969666
GPT-2,166,0.002244032,0.417783469,0.579972565
GPT-2,167,0.00050881,0.999355257,0.000135974
GPT-2,168,0.001249522,0.149882406,0.848868132
GPT-2,169,0.000503868,0.999376595,0.000119606
GPT-2,170,0.002034774,0.060882658,0.937082589
GPT-2,171,0.00140086,0.01176839,0.986830711
GPT-2,172,0.000463693,0.000733081,0.998803258
GPT-2,173,0.000972283,0.021836326,0.977191448
GPT-2,174,0.000674171,0.00144136,0.997884452
GPT-2,175,0.000844969,0.002709082,0.996446073
GPT-2,176,0.001250692,0.955547154,0.043202121
GPT-2,177,0.000524264,0.999335945,0.000139803
GPT-2,178,0.000948824,0.990341902,0.008709208
GPT-2,179,0.00506064,0.735651374,0.259288013
GPT-2,180,0.000635447,0.001209299,0.998155296
GPT-2,181,0.003062437,0.208508387,0.78842926
GPT-2,182,0.000581199,0.991681159,0.007737665
