Generation,GibberishLevel
1,2.431379138
1,2.385073176
1,2.357775852
1,2.558565257
1,2.005525172
1,2.180297812
1,2.124406281
1,2.320996683
1,2.572074079
1,2.743360297
1,2.019504691
1,2.279158182
1,2.475854082
1,2.474554558
1,2.725622195
1,2.598904962
1,2.492175078
1,2.053740483
1,2.228591368
1,2.603923715
1,2.372290807
1,2.33129206
1,2.575878707
1,1.689465337
1,2.268495224
1,2.161378022
1,2.415874368
1,2.522590541
1,2.268021192
1,2.18116571
1,2.366704106
1,2.327579158
1,2.368033005
1,1.899516363
1,2.237373169
1,2.226953636
1,1.903510376
1,2.129354902
1,2.46148495
1,2.116858094
1,2.197951697
1,2.527370169
1,2.570007617
1,2.558706648
1,2.502418818
1,2.619650009
1,1.83320646
1,2.293350884
1,1.847406134
1,1.878798028
1,2.563323919
1,2.384373884
1,2.543826162
1,1.819676943
1,2.246394309
1,2.354340063
1,2.071796964
1,2.571644222
1,2.72709449
1,1.91860905
1,2.584900242
1,2.522152705
1,2.382549921
1,2.724578479
1,2.605744405
1,2.216075717
1,2.676495445
1,2.208153673
1,2.260784743
1,2.522885293
1,2.53499028
1,2.400481311
1,2.204614595
1,2.564987446
1,2.401924139
1,2.378934423
1,2.264725873
1,2.337006492
1,2.59668776
1,2.477987691
1,2.430773093
1,2.385153639
1,2.531440887
1,2.14466794
1,2.366608354
1,2.304047144
1,2.568007489
1,2.436990338
1,2.32016732
1,2.563505353
1,2.51164846
1,1.689537263
1,2.517971887
1,2.185107041
1,2.375567765
1,2.200838467
1,2.448489029
1,2.098553706
1,2.331367643
1,2.15831214
1,2.28603024
1,2.189969558
1,2.29945038
1,2.270950633
1,1.653911883
1,2.235230454
1,2.415800125
1,2.542301056
1,2.405078367
1,2.259297328
1,2.530030897
1,1.535541282
1,2.73228971
1,2.246045297
1,2.219867464
1,2.096985738
1,2.010010344
1,2.359048531
1,1.984672773
1,2.499322474
1,2.177244776
1,1.681704765
1,2.342384452
1,2.30283379
1,2.480547681
1,2.2935746
1,2.257609365
1,2.611274817
1,2.497862726
1,2.121004308
1,2.431573924
1,2.743890894
1,2.04595777
1,2.258103662
1,1.980863256
1,2.157833053
1,2.320997551
1,2.612875072
1,2.558365212
1,2.600318555
1,2.30711277
1,2.088586781
1,2.212985568
1,2.500980324
1,2.471693514
1,2.062058785
1,2.25763266
1,2.686805878
1,2.383367626
1,2.372110838
1,2.306552801
1,1.967403628
1,2.158750831
1,1.81839112
1,2.346995132
1,2.769922069
1,2.247303955
1,1.990902994
1,2.283123421
1,2.48947999
1,1.833903125
1,2.002233093
1,2.400493357
1,2.557095435
1,2.403692108
1,2.169167156
1,2.534575179
1,1.634988688
1,2.5763959
1,2.482031902
1,2.244966166
1,2.478501299
1,2.181985567
1,2.577936868
1,2.552492154
1,2.391631872
1,2.6296868
1,2.40016473
1,2.632361344
1,1.495128161
1,1.829595684
1,2.309069696
1,1.69866987
1,2.326004862
1,2.545098295
1,2.218621811
1,2.428135839
1,1.943033867
1,2.493745485
1,2.424308783
1,2.427670479
1,2.532348862
1,2.489345357
1,2.600310221
1,2.469473874
1,2.402152571
1,2.727777387
1,2.234118502
1,2.143646132
1,2.056141989
1,2.177373514
1,2.344996246
1,1.728417357
1,2.110183581
1,2.533602038
1,2.780702984
1,1.885734082
1,2.267453276
1,2.273296833
1,2.454177198
1,2.04014715
1,2.523335534
1,2.1025123
1,2.168542809
1,2.477981268
1,2.182421922
1,1.991111937
1,2.305789233
1,2.095234827
1,2.482223236
1,2.166063892
1,2.58452215
1,2.129866045
1,2.283256231
1,1.712622787
1,1.993484309
1,2.284590109
1,1.706782167
1,1.964597643
1,2.253549704
1,2.499735903
1,2.260410382
1,1.887592557
1,2.371104221
1,2.34513003
1,2.650165834
1,2.443354594
1,2.379624008
1,2.575003234
1,2.601998494
1,2.027850062
1,2.376410639
1,2.215324273
1,1.96038059
1,2.479601343
1,2.332914315
1,2.494384926
1,2.128822628
1,2.338276892
1,2.743697604
1,2.581518888
1,2.393891536
1,2.482021428
1,2.469166464
1,1.561729215
1,2.270218041
1,1.643914277
1,1.376470211
1,1.88701814
1,2.072647905
1,2.325907271
1,2.680405237
1,2.239604962
1,2.632404352
1,2.354168917
1,2.774868739
1,2.284673848
1,2.583891272
1,2.450896988
1,2.269435456
1,2.152529601
1,2.225170573
1,2.681327574
1,2.366886857
1,2.037168962
1,2.66630173
1,2.202409222
1,2.454553305
1,2.508942006
1,1.738219483
1,2.58421099
1,2.619183281
1,2.702481072
1,2.326265789
1,2.656524635
1,2.483797432
1,2.484398629
1,2.585765227
1,2.156807165
1,2.006080302
1,2.10531295
1,2.026358436
1,2.586126962
1,2.308888012
1,2.304720723
1,2.355714581
1,1.784244076
1,2.25805159
1,2.510924591
1,2.152242264
1,1.874205475
1,2.511380408
1,2.543510355
1,2.579691852
1,2.355207597
1,2.148923194
1,2.145857421
1,2.563447384
1,2.335200363
1,2.46963511
1,2.653542445
1,2.391059738
1,2.460712284
1,2.608249277
1,2.269459704
1,2.311303534
1,2.327392195
1,2.231639986
1,2.74137954
1,2.166774668
1,2.610572058
1,2.156065036
1,2.070302567
1,2.293981754
1,2.533042333
1,2.580922228
1,2.374179895
1,1.925155442
1,1.243887775
1,2.597534158
1,2.281049815
1,2.145445871
1,2.586251928
1,2.739798016
1,2.15753223
1,1.752142363
1,2.23812215
1,2.198843878
1,2.088288567
1,1.748694585
1,2.417641263
1,2.153483379
1,2.542035354
1,2.458530804
1,2.061191926
1,2.677355766
1,2.24548995
1,2.388911967
1,1.977998836
1,2.437731313
1,2.414549928
1,2.581500318
1,2.221393006
1,2.005978825
1,2.537780043
1,2.546273704
1,2.363971602
1,2.257358868
1,2.339260936
1,2.193233115
1,2.819361363
1,2.471398623
1,2.468804463
1,2.19266219
1,2.504504927
1,2.063218621
1,2.299640543
1,2.215142901
1,2.18583176
1,2.423155208
1,2.050568329
1,1.568684742
1,2.299390849
1,2.429836866
1,1.784963118
1,2.768485537
1,2.184113786
1,2.522034124
1,2.303425575
1,2.343146756
1,2.483049843
1,2.161107979
1,2.662697209
1,2.19832393
1,2.274093888
1,2.477582308
1,2.24378263
1,2.716573894
1,2.279682894
1,2.332935091
1,2.423006377
1,1.75885141
1,2.528264719
1,2.040983712
1,2.626102892
1,2.452235061
1,2.4500816
1,2.631519626
1,1.987274139
1,1.937520722
1,2.170742755
1,2.280113223
1,2.462685353
1,2.735199428
1,2.273197417
1,2.533008515
1,2.317147208
1,2.698336988
1,2.644463738
1,2.544015866
1,2.342307344
1,1.642258792
1,2.576203437
1,2.541711206
1,2.283836144
1,1.637709104
1,2.386983307
1,2.353529894
1,2.014196848
1,2.299937552
1,2.260279394
1,2.16746466
1,2.379833633
1,2.436455132
1,2.614136489
1,2.378662956
1,2.488310052
1,2.742091119
1,2.299093921
1,2.680948991
1,2.408837792
1,2.539428636
1,2.253928276
1,2.186070125
1,2.627076006
1,2.458425641
1,2.679871526
1,1.952650877
1,2.091344708
1,2.195880161
1,2.43824296
1,2.591047741
1,2.405882745
1,2.448203845
1,2.211133293
1,2.33912647
1,2.603362548
1,2.349902999
1,1.982878674
1,2.57299332
1,2.520138583
1,1.85014215
1,1.98982388
1,2.501977999
1,2.391059738
1,2.498586825
1,2.518901876
1,2.352486503
1,2.609425053
1,2.092702855
1,2.288823583
1,2.083268382
1,2.279867414
1,2.214000483
1,2.213011478
1,2.188924757
1,1.73461771
1,1.797039284
1,2.628596828
1,2.199699799
1,2.629889305
1,2.085146111
1,2.21839264
1,2.156012635
1,2.626827099
1,2.358357306
1,2.556410388
1,2.297774043
1,2.388639825
1,2.545548499
1,2.535838109
1,2.422984158
1,1.961999595
1,2.01115152
1,2.623735732
1,2.501627805
1,1.913836618
1,1.801698865
1,2.59690173
1,2.469744981
1,2.782043997
1,2.088133098
1,1.951666
1,1.96637856
1,2.411493127
1,2.489699067
1,2.297844876
1,2.41634889
1,1.66761909
1,2.25813685
1,2.69831184
1,1.836214724
1,2.483884627
1,2.181476902
1,2.103462755
1,1.721294711
1,2.508016351
1,2.574702262
1,2.610387463
1,2.023168259
1,2.598608408
1,2.501650559
1,2.314088942
1,1.96543129
1,2.494008938
1,2.517063093
1,2.575281928
1,2.405912809
1,2.624907631
1,1.787029975
1,2.32602375
1,2.407302712
1,2.516755926
1,1.583094587
1,2.70096205
1,2.710971746
1,2.365610123
1,2.294793171
1,2.438498339
1,2.332694185
1,2.430666302
1,1.644295514
1,2.389265637
1,1.966872915
1,2.517673186
1,2.535167844
1,2.297789912
1,2.393958605
1,2.529795377
1,2.656382885
1,2.15753223
1,2.521968824
1,2.62417027
1,2.599235675
1,2.209770969
1,2.346206135
1,2.365740302
1,1.505685516
1,2.183583771
1,2.421370276
1,2.447215451
1,2.567452954
1,2.347878824
1,2.611559127
1,2.352234027
1,2.480835472
1,2.22575657
1,2.421161723
1,1.866521713
1,2.108185159
1,2.580922605
1,1.937129703
1,2.201659734
1,2.048977756
1,2.359913681
1,2.16835305
1,2.519444461
1,2.469251961
1,1.961483251
1,2.128165332
1,2.480509821
1,2.29416422
1,2.043999697
1,2.57105971
1,1.722511916
1,2.488287482
1,1.958087371
1,1.781994068
1,2.582448264
1,2.422431788
1,2.133105308
1,2.051477196
1,2.673030846
1,2.566065227
1,2.198336615
1,2.553165837
1,2.438857149
1,2.274571103
1,2.323139638
1,2.39404586
1,2.300915909
1,2.393724079
1,2.542998872
1,2.558226617
1,2.69843991
1,2.333476757
1,2.400464053
1,2.238707192
1,2.632330546
1,2.575940714
1,2.034349044
1,2.080101142
1,2.747324874
1,2.151168352
1,1.826446537
1,2.586688594
1,2.527515606
1,2.48265521
1,2.514679872
1,2.6080805
1,2.100720472
1,2.528260855
1,2.551982774
1,2.414911906
1,1.975564608
1,1.977964304
1,1.699955278
1,1.958816382
1,2.304500973
1,2.172548473
1,2.447197219
1,2.368024636
1,2.508643615
1,2.023321743
1,2.44843558
1,2.370575586
1,2.443265932
1,2.592743314
1,2.430275168
1,2.700923862
1,2.498327345
1,2.273381057
1,2.44983739
1,2.480330306
1,2.197819112
1,2.550826794
1,1.719658057
1,1.945200827
1,2.061515796
1,2.414550158
1,2.186664528
1,2.678253142
1,2.127171663
1,1.884953686
1,2.593621152
1,2.473109578
1,2.335999938
1,2.150160607
1,2.186146595
1,2.544038135
1,2.309908328
1,2.469295008
1,2.557773037
1,2.654355145
1,1.86569035
1,2.310219383
1,1.452830299
1,2.029863207
1,2.217530117
1,2.538124403
1,2.220553699
1,2.411857849
1,2.679765832
1,2.178220646
1,2.230273734
1,2.312762279
1,1.598807532
1,2.502864165
1,1.939446213
1,1.953185998
1,2.227216204
1,2.246822083
1,2.331284167
1,2.310580234
1,1.373448173
1,1.691692271
1,2.152821311
1,1.633391369
1,2.393311147
1,2.370262627
1,2.487678887
1,2.254136478
1,2.543507818
1,1.968602148
1,1.961481253
1,1.82197633
1,2.590615284
1,2.512688895
1,2.14086565
1,2.422435824
1,2.196331487
1,2.076599411
1,2.347173323
1,2.276940068
1,2.593177722
1,2.492159958
1,2.368822387
1,2.028380218
1,2.215045507
1,2.033109938
1,2.181992197
1,2.43044836
1,2.255736928
1,2.594585903
1,2.389490861
1,2.421685239
1,2.654832213
1,2.249171744
1,2.591678166
1,2.578125628
1,1.845522947
1,1.875229834
1,2.296234327
1,2.280730469
1,2.416518636
1,2.213438449
1,2.59535383
1,2.247066909
1,2.503616606
1,2.384504469
1,2.084688285
1,2.467004742
1,2.167833435
1,2.269659591
1,1.843156759
1,1.798426647
1,2.492122478
1,2.285607033
1,2.30714582
1,2.510438805
1,2.404671653
1,2.238707192
1,2.271892959
1,2.708445806
1,1.780100683
1,2.522493418
1,2.547875367
1,2.513636197
1,2.021488257
1,2.536269803
1,2.548762844
1,2.554190696
1,2.522789902
1,1.628335161
1,2.41712396
1,1.909163033
1,2.037074146
1,2.534168238
1,2.252350763
1,2.287748594
1,2.826828733
1,2.351386543
1,2.17994687
1,2.507848723
1,2.593527272
1,2.447358591
1,2.270961947
1,2.226802703
1,2.47363845
1,2.692021262
1,1.922291109
1,2.645751393
1,2.597027075
1,2.305387649
1,1.754852168
1,2.455236093
1,2.18185642
1,2.417993271
1,2.615715537
1,2.501380816
1,1.85144142
1,1.85899783
1,2.216890621
1,2.181066926
1,2.49163214
1,2.415695086
1,2.230873152
1,2.390925459
1,2.471018115
1,2.464469956
1,2.120375057
1,2.455711986
1,2.672556721
1,2.444983441
1,2.54255218
1,2.350815965
1,2.51874444
1,2.163636676
1,2.685422916
1,1.539269782
1,2.326486695
1,2.333563339
1,2.265477695
1,2.237324242
1,1.929284967
1,2.306726221
1,2.48114102
1,2.11679455
1,2.174120575
1,2.333759754
1,2.410862492
1,2.599214701
1,1.858025174
1,2.382731821
1,2.386271218
1,2.362096839
1,2.311807994
1,2.566965649
1,1.787629853
1,2.346431562
1,2.297849565
1,2.562038369
1,2.248600606
1,2.273502531
1,2.568710121
1,2.450374351
1,2.464231396
1,2.41857591
1,2.195657076
1,2.17069745
1,2.565899752
1,2.073046987
1,2.674126542
1,2.359775808
1,2.223818914
1,2.394202529
1,2.66401982
1,2.367773196
1,2.036165355
1,2.106674763
1,2.245064514
1,2.102872217
1,2.306175145
1,2.616960484
1,2.556828214
1,2.044856253
1,2.476512021
1,2.168089171
1,2.479033612
1,2.306469521
1,2.460994625
1,2.516217103
1,2.387467381
1,2.546854271
1,2.645837585
1,1.84539262
1,2.143221427
1,1.638494876
1,2.464509953
1,2.114419461
1,2.388770897
1,2.332658229
1,2.36050014
1,2.619160537
1,2.377299905
1,2.71599896
1,2.235645135
1,2.135730179
1,2.531514714
1,2.413712066
1,2.323763535
1,2.573153602
1,2.329080905
1,2.006410027
1,2.565757318
1,2.193663942
1,2.453614388
1,2.095639839
1,2.460967213
1,2.248818691
1,2.520568054
1,2.53852533
1,2.532663898
1,2.46459346
1,2.51176639
1,2.346004001
1,2.403747475
1,2.477515091
1,2.240161112
1,2.567306861
1,2.355722483
1,2.106495308
1,2.446254877
1,2.558965326
1,2.001202161
1,2.250094355
1,2.734410414
1,2.295982134
1,2.608455872
1,1.924127889
1,2.181598407
1,2.0641075
1,2.137339692
1,2.227807109
1,2.269806591
1,2.486333581
1,2.254520021
1,2.013852155
1,2.159317749
1,2.339695579
1,1.571078286
1,2.56247771
1,2.056076835
1,2.347391632
1,2.393142514
1,2.697771832
1,2.128992987
1,2.684856093
1,2.419451859
1,2.21364559
1,2.605456537
1,2.474368592
1,2.501232757
1,2.312973261
1,2.447240374
1,2.459799624
1,2.266862668
1,2.663082696
1,2.519709437
1,2.243030916
1,1.674623497
1,2.205911159
1,2.366559659
1,2.196851498
1,2.600492951
1,2.443218068
1,2.261605857
1,2.363695567
1,2.491463717
1,2.728074123
1,2.362809317
1,2.55229828
1,2.415740387
1,2.482084797
1,1.781898446
1,2.486520716
1,2.335874082
1,2.254089154
1,2.146929767
1,2.227311946
1,2.400970562
1,2.001226241
1,2.695610841
1,2.525593784
1,2.2984373
1,2.783313854
1,2.645090439
1,2.385517229
1,1.784116061
1,2.276363931
1,2.640568875
1,2.439234009
1,2.143171645
1,2.539819108
1,2.634902683
1,2.649058154
1,2.559052549
1,2.377791514
1,2.077158044
1,2.531203558
1,2.429765888
1,2.485579789
1,2.752756174
1,1.749923559
1,2.022446899
1,1.888319137
1,2.445056261
1,2.366270077
1,2.395403174
1,2.466357641
1,2.60586476
1,2.537280785
1,2.547922746
1,2.015485581
1,2.691858645
1,1.905901148
1,1.951260095
1,1.906856268
1,2.397539173
1,2.64222134
1,2.448470212
1,2.676844871
1,1.701003418
1,2.281828183
1,2.03106208
1,2.686764229
1,2.401453601
1,2.355173488
1,2.111384581
1,2.513268933
1,1.679134419
1,2.117979221
1,1.990764771
1,2.150085991
1,2.435966705
1,2.372862526
1,2.511147797
1,2.587780729
1,2.283800668
1,2.092360424
1,2.062414431
1,2.467618601
1,2.147932956
1,2.356037162
1,2.143518974
1,2.174145722
1,2.377743562
1,2.537340939
1,2.323875614
1,2.320458905
1,2.378982347
1,2.498007172
1,1.454065322
1,2.641578702
1,2.187752884
1,2.438240854
1,2.48977645
1,2.542505547
1,2.427263469
1,2.59175163
1,2.352775504
1,2.333045012
1,2.564554933
1,2.37036209
1,2.534968328
1,2.314463389
1,1.843049362
1,2.344125155
1,2.353378831
1,2.722735352
1,2.29144393
1,2.520013002
1,2.110439686
1,2.036679116
1,2.629852402
1,2.355893203
1,2.016275593
1,2.22517929
1,2.626107071
1,2.402636061
1,2.183584322
1,2.561643756
1,2.125572249
1,2.557282056
1,2.282097131
1,2.109785496
1,2.056752434
1,2.023222714
1,2.400857984
1,2.474019666
1,2.498703589
1,2.177209819
1,2.215417594
1,2.34997203
1,2.588804174
1,1.998372603
1,2.184056625
1,1.953505606
1,1.931510908
1,2.629904482
1,2.313392252
1,2.535886452
1,2.0901425
1,2.097312926
1,2.480164412
1,2.520405945
1,2.359913084
1,2.529544256
1,2.339704513
1,1.952451724
1,1.502365182
1,2.368005476
1,2.214462308
1,2.102745877
1,2.328425205
1,2.488302933
1,2.388915535
1,2.348777218
1,2.643338597
1,2.646673503
1,2.358743958
1,2.395862271
1,2.271737117
1,2.50701002
1,2.14134068
1,2.339986462
1,2.412187931
1,2.371314435
1,2.038845186
1,2.004119596
1,2.494755141
1,1.507637667
1,2.502302049
1,2.387104626
1,2.306846457
1,2.293751507
1,2.4305308
1,2.279807082
1,2.399570772
1,2.494853937
1,2.462013683
1,2.461725722
1,2.489910053
1,2.520063057
1,2.175766052
1,1.447890171
1,2.665327835
1,2.529968023
1,2.527295652
1,2.575613179
1,2.351157294
1,2.318065468
1,2.55161824
1,2.148482557
1,2.121168831
1,2.391430967
1,2.416930087
1,2.694993078
1,2.639803219
1,2.330515022
1,2.500290112
1,2.477220751
1,2.63460801
1,1.903720123
1,2.491835681
1,2.307534743
1,2.455466244
1,2.21529711
1,2.5982424
1,2.271315311
1,2.706350807
1,2.594008286
1,2.398268552
1,2.128916686
1,2.142384132
1,2.343832058
1,1.778148413
1,2.404858579
1,2.52608577
1,2.741322474
1,1.797555252
1,2.064854408
1,2.552231139
1,2.007485364
1,2.352514908
1,2.29883892
1,2.565960454
1,2.214053442
1,1.417860658
1,2.449474444
1,2.581225604
1,2.428050927
1,2.513701184
1,2.727753915
1,1.414420727
1,2.303402855
1,2.523530588
1,1.477970322
1,2.210957623
1,2.100416985
1,2.510055063
1,1.810038271
1,1.364988235
1,2.409301797
1,2.414196371
1,2.414576282
1,2.48359851
1,2.346095091
1,2.104037534
1,1.958318916
1,2.311145178
1,2.292613131
1,2.643305637
1,2.185491463
1,1.908104999
1,2.527966827
1,2.183539042
1,2.302468406
1,2.33014319
1,2.392992315
1,2.573701246
1,2.288371304
1,2.523646539
1,2.40482913
1,2.537108358
1,2.579590035
1,2.446657584
1,2.682298588
1,2.105636916
1,2.199082014
1,2.525647065
1,1.950866689
1,2.385833419
1,2.48924269
1,1.773921698
1,1.779581251
1,2.168107445
1,2.753711224
1,2.416359752
1,2.505697676
1,1.984016854
1,2.265877116
1,2.137031967
1,2.449446979
1,2.279056094
1,1.964141176
1,2.632783832
1,1.811565285
1,2.404868269
1,2.693143876
1,2.289743536
1,2.509321156
1,2.457772759
1,2.473459881
1,2.326166711
1,2.247066909
1,2.465486102
1,2.386507029
1,2.310027275
1,2.413613467
1,2.389297447
1,2.441474887
1,2.542250278
1,2.623667711
1,2.345089522
1,2.422401329
1,2.164355668
1,2.404761265
1,2.453662628
1,2.455856971
1,2.348488623
1,2.614108837
1,2.332096499
1,2.542678696
1,2.534180037
1,2.100306942
1,2.330361999
1,2.37655002
1,2.6409825
1,2.562580732
1,2.628081379
1,2.453611059
1,2.3632014
1,2.189933747
1,2.249079469
1,2.58271361
1,2.431390451
1,2.735251439
1,2.610578502
1,2.443830807
1,2.372220319
1,2.154813868
1,2.117193997
1,2.209055603
1,2.569425889
1,2.507848962
1,2.019111035
1,2.354899839
1,2.389193883
1,2.154722657
1,2.367571035
1,2.114181253
1,2.668807449
1,2.245042328
1,2.076355356
1,2.451404618
1,2.264192187
1,2.393426464
1,1.92330674
