neuron_id,layer,pearson_correlation
23,3,-0.061318502
23,4,0.25172185
23,5,0.198974857
23,6,-0.009098579
23,7,-0.255198268
23,8,0.224684758
23,9,0.101944523
23,10,0.352873082
23,11,-0.207917995
23,12,-0.03925484
24,1,-0.411262198
24,2,-0.24402827
24,3,0.081830456
24,4,-0.579599079
24,5,-0.040515562
24,6,-0.369262083
24,7,0.059832915
24,8,0.112156316
24,9,-0.384855958
24,10,0.694097469
24,11,0.122054646
24,12,-0.08666695
25,1,-0.038539407
25,2,0.447702457
25,3,0.217322021
25,4,-0.00669693
25,5,0.557654869
25,6,-0.39716574
25,7,0.1001737
25,8,-0.210050097
25,9,-0.493015206
25,10,-0.140571698
25,11,-0.379668077
25,12,-0.31051764
26,1,0.462420202
26,2,-0.107551344
26,3,0.575933811
26,4,0.654398004
26,5,-0.805106572
26,6,0.149065561
26,7,0.551463389
26,8,0.444457219
26,9,0.486370548
26,10,-0.179495917
26,11,-0.244239413
26,12,0.708053905
27,1,-0.014936256
27,2,0.041220576
27,3,0.25394829
27,4,0.353417321
27,5,0.19607589
27,6,0.433226244
27,7,0.441771442
27,8,-0.303205867
27,9,0.472611002
27,10,0.174862668
27,11,0.167350994
27,12,-0.218623008
28,1,0.071947544
28,2,-0.734123765
28,3,-0.454324715
28,4,0.316838979
28,5,0.543871659
28,6,0.429585737
28,7,0.303121867
28,8,0.238765491
28,9,0.405551485
28,10,0.435192166
28,11,0.31478231
28,12,0.532660569
29,1,0.108868514
29,2,0.234803196
29,3,-0.232989212
29,4,0.089352623
29,5,-0.53967777
29,6,0.330738375
29,7,0.329339572
29,8,0.577724169
29,9,0.281547236
29,10,0.006090968
29,11,-0.775596248
29,12,-0.195637326
30,1,0.137442977
30,2,0.282541895
30,3,0.586688553
30,4,0.426530686
30,5,0.434997459
30,6,0.322384226
30,7,0.450842376
30,8,0.400398273
30,9,0.359199689
30,10,0.597617786
30,11,0.325761909
30,12,0.720971075
31,1,0.30764044
31,2,0.323143196
31,3,0.352711832
31,4,0.073401939
31,5,0.262534828
31,6,0.123772075
31,7,0.199020136
31,8,0.253803333
31,9,0.428514786
31,10,0.029683322
31,11,-0.16008266
31,12,0.280728124
32,1,0.439638635
32,2,-0.426059997
32,3,0.480135005
32,4,0.383321333
32,5,0.151596365
32,6,0.378055719
32,7,0.317401425
32,8,0.436927937
32,9,0.595852717
32,10,0.45332754
32,11,0.545894465
32,12,0.671608783
33,1,0.043223867
33,2,-0.475233166
33,3,-0.482786355
33,4,-0.412931215
33,5,-0.62129691
33,6,-0.053045323
33,7,-0.153295932
33,8,-0.372371387
33,9,0.087290049
33,10,0.18137176
33,11,0.203907501
33,12,0.015847349
34,1,-0.247998003
34,2,-0.428683211
34,3,-0.499792506
34,4,-0.25973859
34,5,-0.006719387
34,6,-0.199642599
34,7,-0.418300635
34,8,-0.132591406
34,9,-0.499329764
34,10,-0.081043176
34,11,-0.418281145
34,12,0.65708104
35,1,-0.456023653
35,2,0.337273417
35,3,0.496033932
35,4,-0.293271164
35,5,-0.501156036
35,6,-0.496696239
35,7,-0.709768174
35,8,-0.32218864
35,9,-0.673846033
35,10,-0.506929683
35,11,-0.703904312
35,12,0.120209907
36,1,0.05713971
36,2,-0.246556512
36,3,-0.323300985
36,4,-0.254388219
36,5,-0.53782853
36,6,-0.472828818
36,7,-0.257615006
36,8,-0.401055729
36,9,-0.335142076
36,10,-0.326528976
36,11,-0.22564497
36,12,-0.309093102
37,1,-0.442267429
37,2,0.793549218
37,3,0.13115363
37,4,0.34365632
37,5,0.235064836
37,6,0.572958663
37,7,0.361851133
37,8,0.381901746
37,9,-0.326743203
37,10,0.516907101
37,11,0.064808967
37,12,-0.348767911
38,1,-0.114304408
38,2,0.55808765
38,3,0.613752634
38,4,-0.577038072
38,5,-0.674278615
38,6,0.226523511
38,7,-0.642170736
38,8,0.315890256
38,9,-0.304039752
38,10,-0.38802072
38,11,0.513470199
38,12,-0.275795557
39,1,0.260869796
39,2,0.511822468
39,3,0.3740093
39,4,0.576250771
39,5,0.541703935
39,6,-0.107367367
39,7,0.44371091
39,8,0.530610244
39,9,0.046382749
39,10,0.366501213
39,11,0.745142276
39,12,-0.190592085
40,1,0.023719547
40,2,0.521947903
40,3,0.4283981
40,4,0.35976848
40,5,0.263990985
40,6,0.010671372
40,7,-0.030114512
40,8,0.369879388
40,9,-0.31549951
40,10,0.317118103
40,11,0.126499474
40,12,-0.274937146
41,1,0.599706881
41,2,-0.023807015
41,3,0.507481383
41,4,0.13041566
41,5,0.55929065
41,6,0.7190437
41,7,-0.593249277
41,8,0.256380674
41,9,0.18928757
41,10,0.429208631
41,11,-0.202604191
41,12,-0.023566956
42,1,0.567745539
42,2,0.610058707
42,3,0.157873417
42,4,0.516717192
42,5,0.156290392
42,6,0.407692412
42,7,-0.148725098
42,8,-0.1730028
42,9,0.463794244
42,10,-0.65592095
42,11,-0.261366485
42,12,0.619273167
43,1,0.192225449
43,2,0.065798586
43,3,0.428374152
43,4,0.402521703
43,5,0.256579162
43,6,0.248824907
43,7,-0.25561867
43,8,0.38301379
43,9,-0.233928139
43,10,-0.081645188
43,11,-0.232588119
43,12,-0.216636153
44,1,0.246057369
44,2,0.140958712
44,3,-0.037699532
44,4,0.262089124
44,5,0.722348271
44,6,0.012167245
44,7,-0.074996532
44,8,-0.059321642
44,9,0.593236287
44,10,0.504926774
44,11,-0.41099658
44,12,0.342314865
45,1,0.36851197
45,2,-0.079696998
45,3,0.498596001
45,4,0.309131244
45,5,0.751427099
45,6,-0.250751351
45,7,0.623218332
45,8,0.018109691
45,9,0.312685394
45,10,-0.411286462
45,11,0.400410873
45,12,0.215740258
46,1,-0.404418878
46,2,-0.438785379
46,3,-0.355723399
46,4,-0.50725778
46,5,-0.327837143
46,6,-0.628318359
46,7,-0.543629097
46,8,-0.481256623
46,9,-0.565841367
46,10,-0.408384736
46,11,0.120625305
46,12,-0.569964764
47,1,0.224224184
47,2,0.257850226
47,3,0.383888881
47,4,0.46372407
47,5,0.31117814
47,6,0.428601477
47,7,0.125325758
47,8,0.473747683
47,9,0.534716036
47,10,0.19642381
47,11,-0.421822459
47,12,0.563357454
48,1,0.640719276
48,2,0.314228767
48,3,0.372130035
48,4,0.351084736
48,5,-0.191974617
48,6,0.085527348
48,7,0.327203386
48,8,0.104286802
48,9,0.59310521
48,10,0.226360361
48,11,0.221931511
48,12,0.550406575
49,1,0.54270229
49,2,0.179372188
49,3,0.318085632
49,4,0.273937552
49,5,0.037901682
49,6,0.206847395
49,7,0.208110454
49,8,0.211389459
49,9,0.061801196
49,10,0.576055426
49,11,-0.628470691
49,12,-0.442137764
50,1,-0.475347381
50,2,-0.274343671
50,3,-0.529914582
50,4,0.09380591
50,5,0.076399808
50,6,0.455327293
50,7,-0.071479864
50,8,0.282293653
50,9,0.39179277
50,10,-0.622816836
50,11,0.218236687
50,12,0.370009773
51,1,0.063334423
51,2,0.444065697
51,3,0.496036027
51,4,0.261852583
51,5,0.324396749
51,6,0.608577273
51,7,0.246787344
51,8,0.517739395
51,9,0.263524083
51,10,0.487326824
51,11,0.422019942
51,12,0.155774048
52,1,-0.208620757
52,2,0.191641425
52,3,0.540158294
52,4,0.431179786
52,5,0.204351608
52,6,-0.361651533
52,7,0.329948822
52,8,0.464549001
52,9,-0.05877596
52,10,0.547587836
52,11,0.119883559
52,12,0.308193306
53,1,-0.340709176
53,2,-0.458824514
53,3,-0.64641421
53,4,-0.560484648
53,5,-0.68622286
53,6,-0.373770789
53,7,-0.534064155
53,8,-0.388460814
53,9,-0.179536134
53,10,0.470956098
53,11,0.582982699
53,12,-0.659825457
54,1,0.528363172
54,2,0.694344094
54,3,0.0444206
54,4,0.50715784
54,5,-0.346900575
54,6,-0.12633217
54,7,0.492020961
54,8,0.512670698
54,9,-0.116360485
54,10,-0.175700074
54,11,0.356600089
54,12,0.639480942
55,1,0.775537554
