neuron_id,layer,pearson_correlation
23,1,-0.381512394
23,2,-0.472302834
23,3,0.307031248
23,4,0.182965624
23,5,-0.429559192
23,6,0.302297661
23,7,0.10291472
23,8,0.474349618
23,9,0.425799004
23,10,-0.525716401
23,11,-0.124176634
23,12,-0.048819525
24,1,-0.471465889
24,2,-0.747806215
24,3,-0.613111489
24,4,-0.469388573
24,5,-0.568383701
24,6,-0.282764855
24,7,-0.401921976
24,8,-0.535654929
24,9,-0.367985651
24,10,-0.363069365
24,11,-0.498118415
24,12,0.296014639
25,1,0.2850783
25,2,0.089765893
25,3,0.56588127
25,4,0.216863406
25,5,0.558705973
25,6,-0.020258896
25,7,-0.078693457
25,8,0.378245798
25,9,-0.608237073
25,10,-0.159584724
25,11,-0.257877428
25,12,-0.433060087
26,1,0.456962231
26,2,0.494445611
26,3,-0.374402111
26,4,0.368219841
26,5,0.491026668
26,6,0.275168754
26,7,-0.534410089
26,8,0.59002645
26,9,-0.599557629
26,10,-0.551393496
26,11,0.311656121
26,12,0.014369021
27,1,0.240012181
27,2,0.382334353
27,3,0.342380982
27,4,0.325035981
27,5,0.340323975
27,6,0.500835157
27,7,0.515847041
27,8,6.02E-05
27,9,0.125605579
27,10,-0.019174573
27,11,0.702759825
27,12,0.504931748
28,1,0.035575357
28,2,-0.031389952
28,3,0.202085685
28,4,0.413729007
28,5,0.020943779
28,6,0.573848137
28,7,-0.079779164
28,8,-0.003727308
28,9,-0.368688959
28,10,-0.566474081
28,11,0.368806559
28,12,0.454830924
29,1,0.594789463
29,2,0.236080316
29,3,-0.322536268
29,4,-0.307950992
29,5,-0.152861068
29,6,0.138374482
29,7,0.373481556
29,8,0.300029323
29,9,-0.082880771
29,10,0.607138246
29,11,0.053341861
29,12,-0.087682091
30,1,0.160423264
30,2,-0.080567915
30,3,0.554179467
30,4,0.433544661
30,5,0.388911346
30,6,0.253959756
30,7,-0.229583623
30,8,0.048845501
30,9,0.192793241
30,10,-0.705530349
30,11,-0.420664331
30,12,0.014666088
31,1,0.651687871
31,2,0.542213099
31,3,0.23054239
31,4,0.514633103
31,5,-0.055499673
31,6,-0.203382381
31,7,0.433539387
31,8,0.477256751
31,9,-0.118711927
31,10,0.2221947
31,11,-0.110572399
31,12,0.504809915
32,1,0.785450428
32,2,0.451669712
32,3,-0.591892895
32,4,0.522921356
32,5,0.402521909
32,6,0.296227454
32,7,0.286801804
32,8,0.101629961
32,9,0.047426738
32,10,0.643344047
32,11,-0.390902514
32,12,-0.112945805
33,1,0.320288441
33,2,0.619298981
33,3,-0.718640476
33,4,0.248207767
33,5,0.68719633
33,6,0.065576602
33,7,-0.30122744
33,8,0.214809338
33,9,-0.462272593
33,10,0.358651341
33,11,0.623617624
33,12,0.177825909
34,1,-0.572950509
34,2,0.302175446
34,3,0.383417777
34,4,-0.187478919
